Metric,Company,Year,Values,Source,Existing,Checked
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Unilever,2021,565988,https://wikirate.org/~13010446,Yes,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Unilever,2020,606771,https://wikirate.org/~12127060,Yes,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Unilever,2019,626672,https://wikirate.org/~6788324,Yes,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Unilever,2018,731927,https://wikirate.org/~5672222,Yes,
"Global Reporting Initiative+Direct greenhouse gas (GHG) emissions (Scope 1), GRI 305-1-a (formerly G4-EN15-a)",Unilever,2016,882973,https://wikirate.org/~2902703,Fixed,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Unilever,2021,144752,https://wikirate.org/~13010446,Yes,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Unilever,2020,171906,https://wikirate.org/~12127060,Yes,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Unilever,2019,410159,https://wikirate.org/~6788324,Yes,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Unilever,2018,827091,https://wikirate.org/~5672222,Yes,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 2), GRI 305-2 (formerly G4-EN16-a)",Unilever,2016,1007953,https://wikirate.org/~2902703,Fixed,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Unilever,2021,61007131,https://wikirate.org/~13010446,Yes,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Unilever,2020,60388592,https://wikirate.org/~12127060,Yes,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Unilever,2019,58558031,https://wikirate.org/~6788324,Yes,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Unilever,2018,59250469,https://wikirate.org/~5672222,Yes,
"Global Reporting Initiative+Indirect greenhouse gas (GHG) emissions (Scope 3), GRI 305-3 (formerly G4-EN17-a)",Unilever,2016,61118867,https://www.unilever.com/files/ea01feea-6d32-461a-b734-2123f66627b7/unilever-sustainability-performance-data-climate.xlsx,Fixed,
Science Based Targets Initiative (SBTi)+Science Based Target Classification,Unilever,2019,1.5Â°C,https://wikirate.org/~6321626,Yes,
Science Based Targets Initiative (SBTi)+Science Based Target Classification,Unilever,2018,1.5Â°C,https://wikirate.org/~6321626,Yes,
Science Based Targets Initiative (SBTi)+Science Based Target Classification,Unilever,2017,1.5Â°C,https://wikirate.org/~6321626,Yes,
Science Based Targets Initiative (SBTi)+Science Based Targets Status,Unilever,2021,Targets Set,https://wikirate.org/~8081005,Yes,
Science Based Targets Initiative (SBTi)+Science Based Targets Status,Unilever,2019,Targets Set,https://wikirate.org/~6321626,Yes,
